Title;Genre;Premiere;No_of_Seasons;No_of_Episodes
Stranger Things;Science Fiction Horror;July 15, 2016;3;25
The Crown;Historical Drama;November 4, 2016;4;40
Ozark;Crime Drama;July 21, 2017;3;30
Lost in Space;Science Fiction;April 13, 2018;2;20
Narcos: Mexico;Crime Drama;November 16, 2018;2;20
The Umbrella Academy;Superhero Action;February 15, 2019;2;20
Black Summer;Zombie Drama;April 11, 2019;1;8
Another Life;Science Fiction Drama;July 25, 2019;1;10
Criminal: UK;Police;September 20, 2019;2;7
Raising Dion;Superhero Science Fiction Drama;October 4, 2019;1;9
Virgin River;Romantic Drama;December 6, 2019;2;20
The Witcher;Fantasy Drama;December 20, 2019;1;8
Locke & Key;Horror Teen Drama;February 7, 2020;1;10
The Letter for the King;Fantasy;March 20, 2020;1;6
Outer Banks;Coming Of Age Drama;April 15, 2020;1;10
Sweet Magnolias;Romance Drama;May 19, 2020;1;10
Blood & Water;Teen Drama;May 20, 2020;1;6
Homemade;Anthology;June 30, 2020;1;17
Warrior Nun;Fantasy;July 2, 2020;1;10
Cursed;Fantasy;July 17, 2020;1;10
Young Wallander;Detective Drama;September 3, 2020;1;6
Ratched;Drama;September 18, 2020;1;8
The Haunting of Bly Manor;Horror;October 9, 2020;9;10
Social Distance;Anthology;October 15, 2020;1;8
Grand Army;Teen Drama;October 16, 2020;1;9
The Queen's Gambit;Drama;October 23, 2020;7;10
Dash & Lily;Romance;November 10, 2020;1;8
Selena: The Series;Biopic;December 4, 2020;1;9
Tiny Pretty Things;Teen Drama;December 14, 2020;1;10
Bridgerton;Romance;December 25, 2020;1;8
Fate: The Winx Saga;Teen Drama Fantasy;January 22, 2021;1;6
Grace and Frankie;Comedy Drama;May 8, 2015;6;78
Master of None;Comedy;November 6, 2015;2;20
Dear White People;Satire Drama;April 28, 2017;3;30
Atypical;Coming Of Age Comedy;August 11, 2017;3;28
On My Block;Coming Of Age Comedy;March 16, 2018;3;28
The Kominsky Method;Comedy;November 16, 2018;2;16
Sex Education;Comedy Drama;January 11, 2019;2;16
Russian Doll;Comedy;February 1, 2019;1;8
After Life;Comedy;March 8, 2019;2;12
Special;Comedy;April 12, 2019;1;8
I Think You Should Leave with Tim Robinson;Sketch Comedy;April 23, 2019;1;6
Bonding;Dark Comedy;April 24, 2019;2;15
Dead to Me;Black Comedy Drama;May 3, 2019;2;20
Malibu Rescue: The Series;Comedy;June 3, 2019;1;8
Mr. Iglesias;Comedy;June 21, 2019;3;21
Family Reunion;Comedy;July 10, 2019;2;19
Team Kaylie;Sitcom;September 23, 2019;3;20
The Politician;Comedy;September 27, 2019;2;15
Gentefied;Comedy Drama;February 21, 2020;1;10
The Iliza Shlesinger Sketch Show;Sketch Comedy;April 1, 2020;1;6
Brews Brothers;Comedy;April 10, 2020;1;8
#blackAF;Sitcom;April 17, 2020;1;8
Never Have I Ever;Comedy;April 27, 2020;1;10
Space Force;Comedy;May 29, 2020;1;10
The Baby-Sitters Club;Dramedy;July 3, 2020;1;10
Game On: A Comedy Crossover Event;Comedy;August 10, 2020;1;4
Julie and the Phantoms;Musical Comedy;September 10, 2020;1;9
The Duchess;Comedy;September 11, 2020;1;6
Sneakerheads;Comedy;September 25, 2020;1;6
Emily in Paris;Comedy Drama;October 2, 2020;1;10
Aunty Donna's Big Ol' House of Fun;Comedy;November 11, 2020;1;6
How to Ruin Christmas: The Wedding;Comedy;December 16, 2020;1;3
F Is for Family;Sitcom;December 18, 2015;4;36
Big Mouth;Coming Of Age Comedy;September 29, 2017;4;41
Disenchantment;Medieval Fantasy Comedy;August 17, 2018;3;30
Paradise PD;Comedy;August 31, 2018;2;18
Love, Death & Robots;Anthology;March 15, 2019;1;18
Trailer Park Boys: The Animated Series;Mockumentary;March 31, 2019;2;20
The Midnight Gospel;Science Fantasy Dark Comedy;April 20, 2020;1;8
The Liberator;War Drama;November 11, 2020;4;10
Castlevania;Dark Fantasy;July 7, 2017;3;22
B: The Beginning;Suspense;March 2, 2018;1;12
Aggretsuko;Workplace Comedy;April 20, 2018;3;30
Ultraman;Science Fiction;April 1, 2019;1;13
7SEEDS;Science Fiction;June 28, 2019;2;24
Dino Girl Gauko;Children;November 22, 2019;2;39
Cagaster of an Insect Cage;Science Fiction;February 6, 2020;1;12
Ghost in the Shell: SAC_2045;Science Fiction;April 23, 2020;1;12
Japan Sinks: 2020;Disaster;July 9, 2020;1;10
Transformers: War for Cybertron Trilogy: Siege;Science Fiction;July 30, 2020;6;10
Dragon's Dogma;Dark Fantasy Adventure;September 17, 2020;1;7
Blood of Zeus;Fantasy Action;October 27, 2020;1;8
Transformers: War for Cybertron Trilogy: Earthrise;Science Fiction;December 30, 2020;6;10
The Hook Up Plan;Romantic Comedy;December 7, 2018;2;15
Family Business;Comedy;June 28, 2019;2;12
Mortel;Supernatural Drama;November 21, 2019;1;6
Vampires;Supernatural Drama;March 20, 2020;1;6
Into the Night;Science Fiction;May 1, 2020;1;6
Lupin;Drama;January 8, 2021;1;5
How to Sell Drugs Online (Fast);Dark Comedy;May 31, 2019;2;12
Biohackers;Thriller;August 20, 2020;1;6
The Last Word;Comedy Drama;September 17, 2020;1;6
Barbarians;Historical Drama;October 23, 2020;1;6
Over Christmas;Comedy;November 27, 2020;3;10
Delhi Crime;Police Procedural;March 22, 2019;1;7
Taj Mahal 1989;Romantic Comedy;February 14, 2020;1;7
She;Crime Drama;March 20, 2020;1;7
Hasmukh;Comedy;April 17, 2020;1;10
Betaal;Thriller;May 24, 2020;1;4
Masaba Masaba;Drama;August 28, 2020;1;6
Mismatched;Romantic Comedy;November 20, 2020;1;6
Bhaag Beanie Bhaag;Comedy;December 4, 2020;1;6
Luna Nera;Historical Drama;January 31, 2020;1;6
Summertime;Teen Drama;April 29, 2020;1;8
Curon;Supernatural Drama;June 10, 2020;1;7
The Naked Director;Period Drama Comedy;August 8, 2019;1;8
Followers;Drama;February 27, 2020;1;9
JU-ON: Origins;Horror;July 3, 2020;1;6
Alice in Borderland;Fantasy;December 10, 2020;1;8
Kingdom;Period Horror Thriller;January 25, 2019;2;12
Persona;Drama Anthology;April 11, 2019;1;4
Love Alarm;Romantic Comedy;August 22, 2019;1;8
Extracurricular;Teen Crime Drama;April 29, 2020;1;10
The School Nurse Files;Fantasy Drama;September 25, 2020;1;6
Sweet Home;Horror;December 18, 2020;1;10
Home for Christmas;Comedy Drama;December 5, 2019;2;12
Ragnarok;Fantasy Superhero Drama;January 31, 2020;1;6
Bloodride;Horror Anthology;March 13, 2020;1;6
Girls from Ipanema;Period Drama;March 22, 2019;2;13
Sintonia;Drama;August 9, 2019;1;6
Spectros;Thriller;February 20, 2020;1;7
Reality Z;Zombie Horror;June 10, 2020;1;10
Kissing Game;Thriller;July 17, 2020;1;6
Good Morning, Verªnica;Crime Drama;October 1, 2020;1;8
Elite;Crime Teen Drama;October 5, 2018;3;24
Diablero;Horror Fantasy Thriller;December 21, 2018;2;14
Always a Witch;Supernatural Drama;February 1, 2019;2;18
Monarca;Family Drama;September 13, 2019;2;18
Hache;Thriller;November 1, 2019;1;8
The Neighbor;Superhero Comedy;December 31, 2019;1;10
Puerta 7;Sports Crime Drama;February 21, 2020;1;8
Unstoppable;Comedy Drama;February 28, 2020;1;10
Almost Happy;Comedy;May 1, 2020;1;10
Valeria;Dramedy;May 8, 2020;1;8
The Unremarkable Juanquini;Comedy;May 15, 2020;1;7
Control Z;Teen Drama;May 22, 2020;1;8
The Search;Crime Anthology;June 12, 2020;6;10
Dark Desire;Thriller;July 15, 2020;1;18
The Great Heist;Crime Drama;August 14, 2020;6;10
Someone Has to Die;Drama;October 16, 2020;3;10
The Minions of Midas;Thriller;November 13, 2020;6;10
The Mess You Leave Behind;Drama;December 11, 2020;8;10
Daughter From Another Mother;Comedy;January 20, 2021;1;9
The Gift;Supernatural Drama;December 27, 2019;2;16
Love 101;Teen Drama;April 24, 2020;1;8
Ethos;Drama;November 12, 2020;1;8
The Victims' Game;Thriller;April 30, 2020;1;8
The Woods;Thriller;June 12, 2020;6;10
Love & Anarchy;Romantic Comedy;November 4, 2020;1;8
Paranormal;Supernatural Drama;November 5, 2020;1;6
Paava Kadhaigal;Anthology;December 18, 2020;1;4
Equinox;Thriller;December 30, 2020;1;6
Jack Whitehall: Travels with My Father;Travel Documentary;September 22, 2017;4;15
Somebody Feed Phil;Travel Documentary;January 12, 2018;4;22
Dirty Money;Documentary;January 26, 2018;2;12
Ugly Delicious;Travel Documentary;February 23, 2018;2;12
Dogs;Documentary;November 16, 2018;1;6
Sunderland 'Til I Die;Sports;December 14, 2018;2;14
Formula 1: Drive to Survive;Sports;March 8, 2019;2;20
The Chef Show;Culinary Art;June 7, 2019;2;25
Taco Chronicles;Culinary Art;July 12, 2019;2;13
ARASHI's Diary -Voyage-;Documentary;December 31, 2019;23;10
Babies;Documentary;February 21, 2020;2;12
Absurd Planet;Nature Documentary;April 22, 2020;1;12
Trial by Media;Documentary;May 11, 2020;1;6
History 101;Documentary;May 22, 2020;1;10
Lenox Hill;Documentary;June 10, 2020;1;9
Home Game;Documentary;June 26, 2020;1;8
Down to Earth with Zac Efron;Documentary;July 10, 2020;1;8
The Business of Drugs;Documentary;July 14, 2020;6;10
Street Food: Latin America;Documentary;July 21, 2020;1;6
Fear City: New York vs The Mafia;Documentary;July 22, 2020;3;10
Connected;Documentary;August 2, 2020;1;6
Immigration Nation;Documentary;August 3, 2020;6;10
World's Most Wanted;Documentary;August 5, 2020;1;5
Tiny Creatures;Nature Documentary;August 7, 2020;1;8
High Score;Documentary;August 19, 2020;6;10
Chef's Table: BBQ;Culinary Art;September 2, 2020;1;4
The Witcher: A Look Inside the Episodes;Making Of;September 2, 2020;1;8
La LÕnea: Shadow of Narco;Documentary;September 9, 2020;4;10
Izzy's Koala World;Documentary;September 15, 2020;1;8
Challenger: The Final Flight;Documentary;September 16, 2020;4;10
The Playbook;Documentary;September 22, 2020;1;5
A Perfect Crime;Documentary;September 25, 2020;4;10
Whose Vote Counts, Explained;Documentary;September 28, 2020;3;10
Song Exploder;Documentary;October 2, 2020;2;8
Bad Boy Billionaires: India;Documentary;October 5, 2020;1;3
Deaf U;Coming Of Age Documentary;October 9, 2020;1;8
Move;Documentary;October 23, 2020;1;5
Carmel: Who Killed Maria Marta?;True Crime;November 5, 2020;4;10
Trial 4;Documentary;November 11, 2020;8;10
Voices of Fire;Documentary;November 20, 2020;1;6
The Holiday Movies That Made Us;Documentary;December 1, 2020;1;2
Alien Worlds;Documentary;December 2, 2020;1;4
Room 2806: The Accusation;Documentary;December 7, 2020;4;10
The Surgeon's Cut;Documentary;December 9, 2020;1;4
Anitta: Made In HonÑrio;Documentary;December 16, 2020;1;6
BREAK IT ALL: The History of Rock in Latin America;Documentary;December 16, 2020;6;10
The Ripper;Documentary;December 16, 2020;4;10
SanPa: Sins of the Savior;Documentary;December 30, 2020;5;10
Headspace Guide to Meditation;Documentary;January 1, 2021;1;8
History of Swear Words;Documentary;January 5, 2021;1;6
Surviving Death;Documentary;January 6, 2021;1;6
Pretend It's a City;Documentary;January 8, 2021;1;7
Night Stalker: The Hunt For a Serial Killer;True Crime;January 13, 2021;4;10
Spycraft;Documentary;January 20, 2021;1;8
House of Cards;Political Drama;February 1, 2013;6;73
Hemlock Grove;Horror Thriller;April 19, 2013;3;33
Orange Is the New Black;Comedy Drama;July 11, 2013;7;91
Marco Polo;Historical Drama;December 12, 2014;2;20
Bloodline;Thriller;March 20, 2015;3;33
Daredevil;Superhero;April 10, 2015;3;39
Sense8;Science Fiction;June 5, 2015;2;24
Narcos;Crime Drama;August 28, 2015;3;30
Jessica Jones;Superhero;November 20, 2015;3;39
The Get Down;Musical Drama;August 12, 2016;2;11
Luke Cage;Superhero;September 30, 2016;2;26
The OA;Mystery;December 16, 2016;2;16
A Series of Unfortunate Events;Black Comedy Mystery;January 13, 2017;3;25
Iron Fist;Superhero;March 17, 2017;2;23
13 Reasons Why;Teen Drama Mystery;March 31, 2017;4;49
Free Rein;Teen Drama;June 22, 2017;3;30
Gypsy;Psychological Thriller;June 30, 2017;1;10
Mindhunter;Crime Drama;October 13, 2017;2;19
Greenhouse Academy;Science Fiction Teen Drama;September 8, 2017;4;40
The Punisher;Superhero;November 17, 2017;2;26
Altered Carbon;Science Fiction;February 2, 2018;2;18
Seven Seconds;Crime Drama;February 23, 2018;1;10
The Ponysitters Club;Drama;August 10, 2018;2;20
The Innocents;Supernatural Fiction;August 24, 2018;1;8
Chilling Adventures of Sabrina;Supernatural Coming Of Age Horror;October 26, 2018;4;36
Tidelands;Supernatural Crime Drama;December 14, 2018;1;8
The Order;Supernatural Horror Drama;March 7, 2019;2;20
Shadow;Thriller;March 8, 2019;1;8
Chambers;Teen Psychological Thriller;April 26, 2019;1;10
The Society;Mystery Drama;May 10, 2019;1;10
Trinkets;Coming Of Age Drama;June 14, 2019;2;20
Wu Assassins;Supernatural Martial Art Drama;August 8, 2019;1;10
The Dark Crystal: Age of Resistance;Fantasy;August 30, 2019;1;10
V Wars;Science Fiction Horror Drama;December 5, 2019;1;10
Soundtrack;Musical Drama;December 18, 2019;1;10
Messiah;Thriller;January 1, 2020;1;10
Spinning Out;Drama;January 1, 2020;1;10
October Faction;Horror;January 23, 2020;1;10
Queen Sono;Crime Drama;February 28, 2020;1;6
White Lines;Drama;May 15, 2020;1;10
Away;Science Fiction;September 4, 2020;1;10
Richie Rich;Sitcom;February 20, 2015;2;21
Unbreakable Kimmy Schmidt;Comedy;March 6, 2015;4;52
Project Mc2;Comedy;August 7, 2015;6;26
W/ Bob & David;Sketch Comedy;November 13, 2015;1;5
Love;Romantic Comedy;February 19, 2016;3;34
Fuller House;Sitcom;February 26, 2016;5;75
Flaked;Comedy;March 11, 2016;2;14
Netflix Presents: The Characters;Sketch Comedy;March 11, 2016;1;8
The Ranch;Sitcom;April 1, 2016;8;80
Lady Dynamite;Comedy;May 20, 2016;2;20
Easy;Romantic Comedy Anthology;September 22, 2016;3;25
Haters Back Off;Comedy;October 14, 2016;2;16
Trailer Park Boys Out of the Park: Europe;Mockumentary;October 28, 2016;1;8
One Day at a Time;Sitcom;January 6, 2017;3;39
Santa Clarita Diet;Comedy Horror;February 3, 2017;3;30
Mystery Science Theater 3000: The Return;Comic Science Fiction;April 14, 2017;2;20
Girlboss;Comedy;April 21, 2017;1;13
GLOW;Comedy;June 23, 2017;3;30
Friends from College;Comedy;July 14, 2017;2;16
Disjointed;Comedy;August 25, 2017;2;20
American Vandal;Mockumentary;September 15, 2017;2;16
She's Gotta Have It;Comedy Drama;November 23, 2017;2;19
Trailer Park Boys Out of the Park: USA;Mockumentary;November 24, 2017;1;8
Everything Sucks!;Coming Of Age Comedy;February 16, 2018;1;10
Alexa & Katie;Sitcom;March 23, 2018;4;39
All About the Washingtons;Comedy;August 10, 2018;1;10
Insatiable;Dark Comedy Drama;August 10, 2018;2;22
The Good Cop;Police Procedural Comedy Drama;September 21, 2018;1;10
Prince of Peoria;Sitcom;November 16, 2018;2;16
Turn Up Charlie;Comedy;March 15, 2019;1;8
Huge in France;Comedy;April 12, 2019;1;8
No Good Nick;Sitcom;April 15, 2019;2;20
Lunatics;Comedy;April 19, 2019;1;10
It's Bruno!;Comedy;May 17, 2019;1;8
Living with Yourself;Comedy Drama;October 18, 2019;1;8
Daybreak;Dark Comedy;October 24, 2019;1;10
Merry Happy Whatever;Comedy;November 28, 2019;1;8
Astronomy Club: The Sketch Show;Sketch Comedy;December 6, 2019;1;6
AJ and the Queen;Comedy;January 10, 2020;1;10
Medical Police;Comedy;January 10, 2020;1;10
The Healing Powers of Dude;Family Comedy;January 13, 2020;1;8
Ashley Garcia: Genius in Love;Comedy;February 17, 2020;3;15
I Am Not Okay with This;Coming Of Age Comedy;February 26, 2020;1;7
The Big Show Show;Comedy;April 6, 2020;2;9
Teenage Bounty Hunters;Comedy;August 14, 2020;1;10
Wet Hot American Summer: First Day of Camp;Satirical Comedy;July 31, 2015;1;8
Gilmore Girls: A Year in the Life;Family Drama;November 25, 2016;1;4
Wet Hot American Summer: Ten Years Later;Satirical Comedy;August 4, 2017;1;8
The Defenders;Superhero Action Drama;August 18, 2017;1;8
Godless;Western;November 22, 2+C2:C300017;1;7
